Company,Region,Vertical,Funding Amount (USD),Funding Stage,Funding Date
Capacity,United States,Artificial Intelligence,11000000,Series C,20-Oct
Dialpad,United States,Artificial Intelligence,100000000,Series E,20-Oct
Stark,United States,B2B Software,1500000,Pre-Seed,20-Oct
Doppler,United States,B2B Software,2300000,Seed,20-Oct
DigitalBrain,United States,B2B Software,3250000,Seed,20-Oct
Scratchpad,United States,B2B Software,3600000,Seed,20-Oct
Memberstack,United States,B2B Software,2000000,Seed,20-Oct
Vowel,United States,B2B Software,4300000,Seed,20-Oct
Index,United States,B2B Software,2600000,Seed,20-Oct
Jam,United States,B2B Software,3500000,Seed,20-Oct
Stir Money,United States,B2B Software,4000000,Seed,20-Oct
Hubilo,United States,B2B Software,4500000,Seed,20-Oct
Swit,United States,B2B Software,5000000,Seed,20-Oct
SINAI,United States,B2B Software,3800000,Seed,20-Oct
Userpilot,United States,B2B Software,1100000,Seed,20-Oct
Remotion,United States,B2B Software,10400000,Series A,20-Oct
Balto,United States,B2B Software,10000000,Series A,20-Oct
Sanity,United States,B2B Software,9300000,Series A,20-Oct
Vivun,United States,B2B Software,18000000,Series A,20-Oct
EveryoneSocial,United States,B2B Software,7600000,Series A,20-Oct
Loyal,United States,B2B Software,12500000,Series A,20-Oct
Slintel,United States,B2B Software,4200000,Series A,20-Oct
Intellimize,United States,B2B Software,12000000,Series A,20-Oct
Pulley,United States,B2B Software,10000000,Series A,20-Oct
Strider,United States,B2B Software,10000000,Series A,20-Oct
Theta Lake,United States,B2B Software,12700000,Series A,20-Oct
Kandji,United States,B2B Software,21000000,Series A,20-Oct
Skilljar,United States,B2B Software,33000000,Series B,20-Oct
FOSSA,United States,B2B Software,23200000,Series B,20-Oct
Retool,United States,B2B Software,50000000,Series B,20-Oct
Rockset,United States,B2B Software,40000000,Series B,20-Oct
Panoply,United States,B2B Software,10000000,Series B,20-Oct
Unqork,United States,B2B Software,207000000,Series C,20-Oct
SimilarWeb,United States,B2B Software,120000000,Series F,20-Oct
Transmute,United States,Blockchain,2000000,Seed,20-Oct
Figment,United States,Blockchain,2500000,Seed,20-Oct
Nabis,United States,Cannabis,5000000,Series A,20-Oct
Coiled,United States,Cloud Computing,5000000,Seed,20-Oct
Macrometa,United States,Cloud Computing,7000000,Seed,20-Oct
Render,United States,Cloud Computing,4500000,Seed,20-Oct
Yotascale,United States,Cloud Computing,13000000,Series B,20-Oct
Armory,United States,Cloud Computing,40000000,Series C,20-Oct
Vectrix.io,United States,Cloud Security,2000000,Seed,20-Oct
Sonrai Security,United States,Cloud Security,20000000,Series B,20-Oct
FingerprintJS,United States,Cyber Security,4000000,Seed,20-Oct
Secureframe,United States,Cyber Security,4500000,Seed,20-Oct
Stairwell,United States,Cyber Security,4520000,Seed,20-Oct
NormShield,United States,Cyber Security,7500000,Series A,20-Oct
Sym,United States,Cyber Security,9000000,Series A,20-Oct
StackHawk,United States,Cyber Security,10000000,Series A,20-Oct
deepwatch,United States,Cyber Security,53000000,Series B,20-Oct
Shipa,United States,Developer Tools,3750000,Seed,20-Oct
Pixie Labs,United States,Developer Tools,9150000,Series A,20-Oct
Temporal,United States,Developer Tools,18750000,Series A,20-Oct
Argyle,United States,Developer Tools,20000000,Series A,20-Oct
Human API,United States,Developer Tools,20000000,Series C,20-Oct
Faire,United States,E-Commerce,170000000,Series E,20-Oct
Shogun,United States,E-Commerce Platform,35000000,Series B,20-Oct
Fabric,United States,E-Commerce Platform,9500000,Seed,20-Oct
Extend,United States,E-Commerce Platform,40000000,Series B,20-Oct
Edlyft,United States,Education,1400000,Seed,20-Oct
Nivelo,United States,Finance,2500000,Seed,20-Oct
NowPay,United States,Finance,2100000,Seed,20-Oct
Finmark,United States,Finance,5000000,Seed,20-Oct
Payrix,United States,Finance,50000000,Series A,20-Oct
Wise,United States,Finance,12000000,Series A,20-Oct
AccessFintech,United States,Finance,20000000,Series B,20-Oct
Finexio,United States,Finance,23000000,Series B,20-Oct
M1 Finance,United States,Finance,45000000,Series C,20-Oct
Tipalti,United States,Finance,150000000,Series E,20-Oct
Chargebee,United States,Finance,55000000,Series F,20-Oct
Ordermark,United States,Food and Beverage,120000000,Series C,20-Oct
Rune Labs,United States,Health Care,5000000,Seed,20-Oct
ScriptDrop,United States,Health Care,15000000,Series A,20-Oct
Priori,United States,Legal,6300000,Series A,20-Oct
Onfleet,United States,Logistics,14000000,Series A,20-Oct
Glimpse,United States,Marketing,1503120,Seed,20-Oct
Brandzooka,United States,Marketing,5600000,Series A,20-Oct
Welcome Homes,United States,Real Estate,5350000,Seed,20-Oct
Neocis,United States,Robotics,72000000,Series D,20-Oct
Walnut,United States,Sales,2500000,Seed,20-Oct
Immerse,United States,Virtual Reality,1500000,Series A,20-Oct
TVision,United States,Advertising,16000000,Unknown,20-Nov
Kobiton,United States,Artificial Intelligence,14000000,Series A,20-Nov
Ushur,United States,Artificial Intelligence,25000000,Series B,20-Nov
OthersideAI,United States,Artificial Intelligence,2600000,Seed,20-Nov
DataRobot,United States,Artificial Intelligence,270000000,Series F,20-Nov
Verbit.ai,United States,Artificial Intelligence,60000000,Series C,20-Nov
Serenade,United States,Artificial Intelligence,2100000,Seed,20-Nov
Altana Trade,United States,Artificial Intelligence,7000000,Seed,20-Nov
Lunewave,United States,Artificial Intelligence,7000000,Series A,20-Nov
Nuro,United States,Autonomous Vehicles,500000000,Series C,20-Nov
Stensul,United States,B2B Software,16000000,Series B,20-Nov
doDOC,United States,B2B Software,500000,Seed,20-Nov
Demoflow,United States,B2B Software,1600000,Seed,20-Nov
Fishtown Analytics,United States,B2B Software,29500000,Series B,20-Nov
JumpCloud,United States,B2B Software,75000000,Series E,20-Nov
Mobilewalla,United States,B2B Software,Unknown,Seed,20-Nov
Hypotenuse,United States,B2B Software,Unknown,Seed,20-Nov
ControlUp,United States,B2B Software,27000000,Series C,20-Nov
OpenPhone,United States,B2B Software,14000000,Series A,20-Nov
ActivTrak,United States,B2B Software,50000000,Series B,20-Nov
ZenBusiness,United States,B2B Software,55000000,Series B,20-Nov
Superpeer,United States,B2B Software,8000000,Seed,20-Nov
Boulevard,United States,B2B Software,27000000,Series B,20-Nov
Pensando,United States,Cloud Computing,Unknown,Unknown,20-Nov
Azion,United States,Cloud Computing,Unknown,Unknown,20-Nov
PingCAP,United States,Cloud Computing,270000000,Series D,20-Nov
Isovalent,United States,Cloud Security,29000000,Series A,20-Nov
SentinelOne,United States,Cyber Security,267000000,Series F,20-Nov
Digify,United States,Cyber Security,Unknown,Seed,20-Nov
Abnormal Security,United States,Cyber Security,50000000,Series B,20-Nov
Klaviyo,United States,E-Commerce Software,200000000,Series C,20-Nov
MeUndies,United States,E-Commerce Store,40000000,Series C,20-Nov
Udacity,United States,Education,75000000,Debt Financing,20-Nov
CAIS,United States,Finance,50000000,Series B,20-Nov
Charityvest,United States,Finance,2300000,Seed,20-Nov
Productfy,United States,Finance,2350000,Seed,20-Nov
HMBradley,United States,Finance,18250000,Series A,20-Nov
Truebill,United States,Finance,17000000,Series C,20-Nov
Level,United States,Finance,Unknown,Grant,20-Nov
Heads Up,United States,Health Care,1300000,Seed,20-Nov
Well Health,United States,Health Care,45000000,Series C,20-Nov
Resilience,United States,Health Care,750000000,Series B,20-Nov
Gatik,United States,Logistics,25000000,Series A,20-Nov
Uhuru Design,United States,Product Design,6900000,Private Equity,20-Nov
HOVER,United States,Real Estate,60000000,Series D,20-Nov
Push Party,United States,Social Network,Unknown,Seed,20-Nov
Vimeo,United States,Video,150000000,Private Equity,20-Nov
Strava,United States,Wellness,110000000,Series F,20-Nov
Blueprint Stats,United States,Cloud Computing,100000,Seed,21-Jan
Juphy,United States,B2B Software,101334,Seed,21-Jan
Allobee,United States,B2B Software,500000,Seed,21-Jan
ZeroEyes,United States,Artificial Intelligence,1000000,Seed,21-Jan
Bookkeeper360,United States,Recruiting,1000000,Seed,21-Jan
Axiom Cloud,United States,Energy,1100000,Seed,21-Jan
Clover,United States,B2B Software,1120000,Seed,21-Jan
Kriptos,United States,Artificial Intelligence,1250000,Seed,21-Jan
Getkart,United States,E-Commerce Store,1250000,Seed,21-Jan
Goodfynd,United States,Food and Beverage,1500000,Seed,21-Jan
Backtracks,United States,Artificial Intelligence,1600000,Seed,21-Jan
Dadventures,United States,Community,2000000,Seed,21-Jan
Roboflow,United States,Cloud Computing,2100000,Seed,21-Jan
S'More Date,United States,Social Network,2100000,Seed,21-Jan
Doorvest,United States,Real Estate,2500000,Seed,21-Jan
Kanarys,United States,Human Resources,3000000,Seed,21-Jan
GoodJob,United States,Recruiting,3000000,Seed,21-Jan
Human AI,United States,Artificial Intelligence,3200000,Seed,21-Jan
Sprockets,United States,Recruiting,3400000,Seed,21-Jan
Openbase,United States,Investing,3600000,Seed,21-Jan
Teamflow,United States,B2B Software,3900000,Seed,21-Jan
Goalsetter,United States,Finance,3900000,Seed,21-Jan
Bbot,United States,Finance,4000000,Seed,21-Jan
Saddle Finance,United States,Blockhain,4300000,Seed,21-Jan
Opal,United States,Cyber Security,430000,Seed,21-Jan
Preciate,United States,B2B Software,4600000,Seed,21-Jan
Preemadonna,United States,E-Commerce Store,5600000,Seed,21-Jan
Unfolded,United States,B2B Software,6000000,Seed,21-Jan
Abound,United States,Finance,6000000,Seed,21-Jan
Bear Flag Robotics,United States,Robotics,7900000,Seed,21-Jan
Kyte,United States,Automotive,9000000,Seed,21-Jan
Gig Wage,United States,B2B Software,2500000,Series A,21-Jan
Paubox,United States,B2B Software,4000000,Series A,21-Jan
"NarrativeWave, Inc.",United States,B2B Software,4500000,Series A,21-Jan
Dina Care,United States,Artificial Intelligence,7000000,Series A,21-Jan
Arbol,United States,Insurance,7000000,Series A,21-Jan
Yac,United States,B2B Software,7500000,Series A,21-Jan
Gainful,United States,Wellness,7500000,Series A,21-Jan
CybSafe,United States,Cyber Security,7643266,Series A,21-Jan
Verusen,United States,Artificial Intelligence,8000000,Series A,21-Jan
SafetyWing,United States,Insurance,8000000,Series A,21-Jan
Uplifting Results Labs,United States,Wellness,8200000,Series A,21-Jan
Arca,United States,Investing,10000000,Series A,21-Jan
SamCart,United States,Marketplace,10000000,Series A,21-Jan
Monument,United States,Community,10300000,Series A,21-Jan
Outer,United States,E-Commerce Store,10500000,Series A,21-Jan
Curtsy,United States,Marketplace,11000000,Series A,21-Jan
Vectorized,United States,B2B Software,12500000,Series A,21-Jan
Valtix,United States,Cyber Security,12500000,Series A,21-Jan
Raydiant,United States,B2B Software,13000000,Series A,21-Jan
Quantum Xchange,United States,Cyber Security,13500000,Series A,21-Jan
Rho Business Banking,United States,Finance,15000000,Series A,21-Jan
CookUnity,United States,Food and Beverage,15500000,Series A,21-Jan
Molecula,United States,Artificial Intelligence,17600000,Series A,21-Jan
Nacelle,United States,B2B Software,18000000,Series A,21-Jan
New Wave Foods,United States,Food and Beverage,18000000,Series A,21-Jan
DecisionLink,United States,Cloud Computing,18500000,Series A,21-Jan
StackPulse,United States,Cloud Computing,20000000,Series A,21-Jan
Trovata,United States,Finance,20000000,Series A,21-Jan
Calibrate,United States,Wellness,22500000,Series A,21-Jan
SetSail,United States,B2B Software,26000000,Series A,21-Jan
Air Protein,United States,Food and Beverage,32000000,Series A,21-Jan
Brigit,United States,Finance,35000000,Series A,21-Jan
Calendly,United States,B2B Software,350000000,Series A,21-Jan
Mission Secure,United States,Cyber Security,5600000,Series B,21-Jan
dv01,United States,Investing,6000000,Series B,21-Jan
dYdX,United States,Blockchain,10000000,Series B,21-Jan
Thistle,United States,Food and Beverage,10300000,Series B,21-Jan
Own Up,United States,Real Estate,12000000,Series A,21-Jan
Lumiata,United States,Artificial Intelligence,14000000,Series B,21-Jan
Syndio Solutions,United States,Human Resources,17100000,Series B,21-Jan
Physna,United States,3D,20000000,Series B,21-Jan
OpenDrives,United States,B2B Software,20000000,Series B,21-Jan
Span.IO,United States,Energy,20000000,Series B,21-Jan
Neat Capital,United States,Finance,22500000,Series B,21-Jan
Playvox,United States,Human Resources,25000000,Series B,21-Jan
Descript,United States,Audio,30000000,Series B,21-Jan
Gtmhub,United States,B2B Software,30000000,Series B,21-Jan
Check Technologies,United States,Finance,35000000,Series B,21-Jan
Modern Treasury,United States,Finance,3800000,Series B,21-Jan
Literati,United States,Education,40000000,Series B,21-Jan
Chronosphere,United States,Cloud Computing,43400000,Series B,21-Jan
AMP Robotics,United States,Artificial Intelligence,55000000,Series B,21-Jan
You & Mr Jones,United States,Investing,60000000,Series B,21-Jan
Fast,United States,E-Commerce Store,102000000,Series B,21-Jan
SimpleNexus,United States,Finance,108000000,Series B,21-Jan
iboss,United States,Cyber Security,145000000,Series B,21-Jan
Quantum Metric,United States,B2B Software,200000000,Series B,21-Jan
FLEXE,United States,Logistics,10000000,Series C,21-Jan
AppDetex,United States,Cyber Security,12200000,Series C,21-Jan
Usermind,United States,Cloud Computing,14000000,Series C,21-Jan
AppOnboard,United States,Gaming,20000000,Series C,21-Jan
Roostify,United States,Finance,32000000,Series C,21-Jan
Airspace Technologies,United States,Aerospace,38000000,Series C,21-Jan
Sitetracker,United States,B2B Software,42000000,Series C,21-Jan
FreeWire Technologies,United States,Energy,50000000,Series C,21-Jan
Hipcamp,United States,Travel,57000000,Series C,21-Jan
Pilot,United States,Finance,60000000,Series C,21-Jan
Booksy,United States,Wellness,70000000,Series C,21-Jan
Citizen,United States,Social Network,72687675,Series C,21-Jan
Glia,United States,B2B Software,78000000,Series C,21-Jan
M-Files,United States,Human Resources,81797993,Series C,21-Jan
Starburst Data,United States,B2B Software,100000000,Series C,21-Jan
Albert,United States,Finance,100000000,Series C,21-Jan
Melio,United States,Finance,110000000,Series C,21-Jan
News Break,United States,Media,115000000,Series C,21-Jan
Sidecar Health,United States,Insurance,125000000,Series C,21-Jan
MX Technologies,United States,Finance,300000000,Series C,21-Jan
Quali,United States,Cloud Computing,54000000,Series D,21-Jan
SOCi,United States,B2B Software,80000000,Series D,21-Jan
Workato,United States,B2B Software,110000000,Series D,21-Jan
Volta Charging,United States,Energy,125000000,Series D,21-Jan
Dremio,United States,Cloud Computing,135000000,Series D,21-Jan
Divvy,United States,Finance,165000000,Series D,21-Jan
OwnBackup,United States,Cloud Computing,167500000,Series D,21-Jan
Lacework,United States,Cloud Computing,525000000,Series D,21-Jan
JumpCloud,United States,Cloud Computing,25000000,Series E,21-Jan
Splashtop,United States,B2B Software,50000000,Series E,21-Jan
SalesLoft,United States,B2B Software,100000000,Series E,21-Jan
Bloomreach,United States,E-Commerce Software,150000000,Series E,21-Jan
TripActions,United States,Travel,155000,Series E,21-Jan
Cockroach Labs,United States,Cloud Computing,160000000,Series E,21-Jan
Sila Nanotechnologies,United States,Energy,590000000,Series F,21-Jan
Blend,United States,Finance,300000000,Series G,21-Jan
Roblox,United States,3D,520000000,Series H,21-Jan
Axiom Space,United States,Aerospace,130000000,Series B,21-Feb
Pairwise Plants,United States,Agriculture,90000000,Series B,21-Feb
Latitude,United States,Artificial Intelligence,3300000,Seed,21-Feb
Krisp,United States,Artificial Intelligence,9000000,Series A,21-Feb
TigerGraph,United States,Artificial Intelligence,105000000,Series C,21-Feb
Standard Cognition,United States,Artificial Intelligence,150000000,Series C,21-Feb
Labelbox,United States,Artificial Intelligence,40000000,Series C,21-Feb
Mai,United States,Artificial Intelligence,5000000,Series A,21-Feb
Deepgram,United States,Artificial Intelligence,25000000,Series B,21-Feb
Pony.ai,United States,Artificial Intelligence,100000000,Series C,21-Feb
Electric,United States,Artificial Intelligence,40000000,Series C,21-Feb
Pubinno,United States,Artificial Intelligence,1000000,Seed,21-Feb
Repl.it,United States,B2B Software,20000000,Series A,21-Feb
Otter.ai,United States,B2B Software,50000000,Series B,21-Feb
Circle,United States,B2B Software,4000000,Seed,21-Feb
Terminus,United States,B2B Software,90000000,Series C,21-Feb
Prefect,United States,B2B Software,11500000,Series A,21-Feb
Highspot,United States,B2B Software,200000000,Series E,21-Feb
Touchcast,United States,B2B Software,55000000,Series A,21-Feb
RapidSOS,United States,B2B Software,85000000,Series C,21-Feb
Leadspace,United States,B2B Software,46000000,Series D,21-Feb
Lusha Systems,United States,B2B Software,40000000,Series A,21-Feb
Lob,United States,B2B Software,50000000,Series C,21-Feb
Hubilo,United States,B2B Software,23500000,Series A,21-Feb
Swift Navigation,United States,B2B Software,50000000,Series C,21-Feb
Blueshift,United States,B2B Software,30000000,Series C,21-Feb
Rheaply,United States,B2B Software,8000000,Series A,21-Feb
VidMob,United States,B2B Software,50000000,Series C,21-Feb
Thrasio,United States,B2B Software,750000000,Series D,21-Feb
SmartHop,United States,B2B Software,12000000,Series A,21-Feb
Fabric,United States,B2B Software,43000000,Series A,21-Feb
Rarible,United States,Blockchain,1750000,Seed,21-Feb
Casa,United States,Blockchain,4000000,Seed,21-Feb
Opyn,United States,Blockchain,6700000,Series A,21-Feb
DeFi Wizard,United States,Blockchain,750000,Seed,21-Feb
Async Art,United States,Blockchain,2000000,Seed,21-Feb
Axoni,United States,Blockchain,31000000,Series B,21-Feb
DFX Finance,United States,Blockchain,5000000,Seed,21-Feb
Kong Inc.,United States,Cloud Computing,100000000,Series D,21-Feb
OutSystems,United States,Cloud Computing,150000000,Series E,21-Feb
Honeycomb,United States,Cloud Computing,20000000,Series B,21-Feb
Sentry,United States,Cloud Computing,60000000,Series D,21-Feb
ScienceLogic,United States,Cloud Computing,105000000,Series E,21-Feb
Platform9,United States,Cloud Computing,12500000,Series D,21-Feb
HowGood,United States,Cloud Computing,6000000,Series A,21-Feb
Nobl9,United States,Cloud Computing,21000000,Series B,21-Feb
Rescale,United States,Cloud Computing,50000000,Series C,21-Feb
Aviatrix Systems,United States,Cloud Computing,75000000,Series D,21-Feb
Pex,United States,Cloud Computing,57000000,Series A,21-Feb
Commsor,United States,Community,16000000,Series A,21-Feb
Maple,United States,Consumer,3500000,Seed,21-Feb
ProjectDiscovery,United States,Cyber Security,1700000,Seed,21-Feb
1Kosmos,United States,Cyber Security,15000000,Series A,21-Feb
Cyble,United States,Cyber Security,200000,Pre-Seed,21-Feb
Armis Security,United States,Cyber Security,125000000,Series D,21-Feb
PerimeterX,United States,Cyber Security,57000000,Series D,21-Feb
Census,United States,Cyber Security,16000000,Series A,21-Feb
Alloy Automation,United States,E-Commerce Software,5000000,Seed,21-Feb
Burrow,United States,E-Commerce Software,25000000,Series C,21-Feb
Savage X,United States,E-Commerce Store,115000000,Series B,21-Feb
Good Eggs,United States,E-Commerce Store,100000000,Series D,21-Feb
Healthy Roots Dolls,United States,E-Commerce Store,1000000,Seed,21-Feb
Zencastr,United States,E-Commerce Store,4600000,Seed,21-Feb
Nanit,United States,E-Commerce Store,25000000,Series C,21-Feb
BloomNation,United States,E-Commerce Store,11000000,Series B,21-Feb
Tovala,United States,E-Commerce Store,30000000,Series C,21-Feb
talkshoplive,United States,E-Commerce Store,3000000,Seed,21-Feb
Heyday,United States,E-Commerce Store,20000000,Series B,21-Feb
Beam Organics,United States,E-Commerce Store,5000000,Series A,21-Feb
Codecademy,United States,Education,40000000,Series D,21-Feb
Reforge,United States,Education,21000000,Series A,21-Feb
Photomath,United States,Education,23000000,Series B,21-Feb
SplashLearn,United States,Education,18000000,Series C,21-Feb
AdmitHub,United States,Education,14000000,Series B,21-Feb
Dandelion Energy,United States,Energy,30000000,Series B,21-Feb
Anchorage,United States,Finance,80000000,Series C,21-Feb
Stori Card,United States,Finance,32500000,Series B,21-Feb
NYMBUS,United States,Finance,53000000,Series C,21-Feb
EarnUp,United States,Finance,25000000,Series B,21-Feb
Human Interest,United States,Finance,55000000,Series C,21-Feb
SoLo Funds,United States,Finance,10000000,Series A,21-Feb
Zeta,United States,Finance,1500000,Pre-Seed,21-Feb
First Boulevard,United States,Finance,5000000,Seed,21-Feb
Built Technologies,United States,Finance,88000000,Series C,21-Feb
Vivino,United States,Food and Beverage,155000000,Series D,21-Feb
Peatos,United States,Food and Beverage,12500000,Series B,21-Feb
Foxtrot,United States,Food and Beverage,42000000,Series B,21-Feb
Millions,United States,Gaming,3000000,Seed,21-Feb
Jackpocket,United States,Gaming,50000000,Series C,21-Feb
Redox,United States,Health Care,45000000,Series D,21-Feb
Medisafe,United States,Health Care,30000000,Series C,21-Feb
Miroculus,United States,Health Care,45000000,Series B,21-Feb
ABclonal,United States,Health Care,93000000,Series C,21-Feb
Modern Health,United States,Health Care,74000000,Series D,21-Feb
Inivata,United States,Health Care,35000000,Series C,21-Feb
Plume,United States,Health Care,14000000,Series A,21-Feb
DocSpace,United States,Health Care,100000,Pre-Seed,21-Feb
Alma,United States,Health Care,28000000,Series B,21-Feb
Carevive Systems,United States,Health Care,18000000,Series C,21-Feb
Evolve Biosystems,United States,Health Care,55000000,Series D,21-Feb
FOLX Health,United States,Health Care,25000000,Series A,21-Feb
BetterUp,United States,Human Resources,125000000,Series D,21-Feb
Torch,United States,Human Resources,25000000,Series B,21-Feb
GoContractor,United States,Human Resources,5000000,Series A,21-Feb
Public.com,United States,Investing,220000000,Series D,21-Feb
Vested Finance,United States,Investing,3600000,Seed,21-Feb
Titan,United States,Investing,12500000,Series A,21-Feb
Kalshi,United States,Investing,30000000,Series A,21-Feb
Shippo,United States,Logistics,45000000,Series D,21-Feb
Fictiv,United States,Manufacturing,35000000,Series D,21-Feb
Abound,United States,Marketplace,22900000,Series A,21-Feb
Newsela,United States,Media,100000000,Series D,21-Feb
Splice,United States,Music,55000000,Series D,21-Feb
Divvy,United States,Real Estate,110000000,Series C,21-Feb
Mighty Buildings,United States,Real Estate,40000000,Series B,21-Feb
LeaseLock,United States,Real Estate,52000000,Series B,21-Feb
UiPath,United States,Robotics,750000000,Series F,21-Feb
Locus Robotics,United States,Robotics,150000000,Series E,21-Feb
Reddit,United States,Social Network,250000000,Series E,21-Feb
Timeshifter,United States,Travel,2000000,Seed,21-Feb
ZeroAvia,United States,Aerospace,24300000,Series A,21-Mar
Hugging Face,United States,Artificial Intelligence,40000000,Series B,21-Mar
6sense,United States,Artificial Intelligence,125000000,Series D,21-Mar
CopyAI,United States,Artificial Intelligence,2900000,Seed,21-Mar
SchooLinks,United States,Artificial Intelligence,8300000,Series A,21-Mar
WorkFusion,United States,Artificial Intelligence,220000000,Series F,21-Mar
Icertis,United States,Artificial Intelligence,80000000,Series F,21-Mar
Viz,United States,Artificial Intelligence,71000000,Series C,21-Mar
Uniphore,United States,Artificial Intelligence,140000000,Series D,21-Mar
Dataminr,United States,Artificial Intelligence,475000000,Series F,21-Mar
Bunch,United States,Artificial Intelligence,1000000,Seed,21-Mar
OctoML,United States,Artificial Intelligence,28000000,Series B,21-Mar
Pico Interactive,United States,Augmented Reality,37400000,Series B,21-Mar
Substack,United States,B2B Software,65000000,Series B,21-Mar
Yotpo,United States,B2B Software,230000000,Series F,21-Mar
Pipe,United States,B2B Software,50000000,Series A,21-Mar
Docker,United States,B2B Software,23000000,Series B,21-Mar
Airtable,United States,B2B Software,270000000,Series E,21-Mar
Fetch Rewards,United States,B2B Software,210000000,Series D,21-Mar
Stream,United States,B2B Software,38000000,Series B,21-Mar
Socure,United States,B2B Software,100000000,Series D,21-Mar
Notarize,United States,B2B Software,130000000,Series D,21-Mar
SafeGraph,United States,B2B Software,45000000,Series B,21-Mar
Bevy,United States,B2B Software,40000000,Series C,21-Mar
Ecomedes,United States,B2B Software,3250000,Seed,21-Mar
75F,United States,B2B Software,4750000,Series A,21-Mar
KUDO,United States,B2B Software,21000000,Series A,21-Mar
AnyRoad,United States,B2B Software,10000000,Series A,21-Mar
Parabol,United States,B2B Software,8000000,Series A,21-Mar
Attentive,United States,B2B Software,470000000,Series E,21-Mar
Price.com,United States,B2B Software,10000000,Seed,21-Mar
Windfall,United States,B2B Software,21000000,Series A,21-Mar
DataGrail,United States,B2B Software,30000000,Series B,21-Mar
River Financial,United States,Blockchain,12000000,Series A,21-Mar
BlockFi,United States,Blockchain,350000000,Series D,21-Mar
evaluate.market,United States,Blockchain,1600000,Pre-Seed,21-Mar
Connext,United States,Blockchain,2200000,Seed,21-Mar
MobileCoin,United States,Blockchain,11350000,Series A,21-Mar
Syndicate,United States,Blockchain,1000000,Seed,21-Mar
Element Finance,United States,Blockchain,4400000,Seed,21-Mar
Fireblocks,United States,Blockchain,133000000,Series C,21-Mar
PureStake,United States,Blockchain,6000000,Series A,21-Mar
Esprezzo,United States,Blockchain,2000000,Seed,21-Mar
Airbyte,United States,Cloud Computing,5200000,Seed,21-Mar
Tomorrow.io,United States,Cloud Computing,77000000,Series D,21-Mar
HYCU,United States,Cloud Computing,87500000,Series A,21-Mar
Yugabyte,United States,Cloud Computing,48000000,Series C,21-Mar
Karbon,United States,Cloud Computing,10000000,Series A,21-Mar
Tetrate,United States,Cloud Computing,40000000,Series B,21-Mar
Populus,United States,Cloud Computing,5000000,Seed,21-Mar
ChurnZero,United States,Cloud Computing,25000000,Series B,21-Mar
Language I/O,United States,Cloud Computing,5000000,Series A,21-Mar
Striim,United States,Cloud Computing,50000000,Series C,21-Mar
ActionIQ,United States,Cloud Computing,68000000,Series C,21-Mar
On Deck,United States,Community,20000000,Series A,21-Mar
Unite Us,United States,Community,150000000,Series C,21-Mar
Cleo,United States,Community,40000000,Series C,21-Mar
Neeva,United States,Consumer,40000000,Series B,21-Mar
Snyk,United States,Cyber Security,300000000,Series E,21-Mar
SecurityScorecard,United States,Cyber Security,180000000,Series E,21-Mar
Cyware,United States,Cyber Security,30000000,Series B,21-Mar
Feedzai,United States,Cyber Security,200000000,Series D,21-Mar
Trust Stamp,United States,Cyber Security,1000000,Series A,21-Mar
OpenOcean,United States,Data,2000000,Seed,21-Mar
Skycatch,United States,Drones,25000000,Series C,21-Mar
Webscale,United States,E-Commerce Software,26000000,Series C,21-Mar
Lolli,United States,E-Commerce Store,5000000,Seed,21-Mar
Harry's,United States,E-Commerce Store,155000000,Series E,21-Mar
Section4,United States,Education,30000000,Series A,21-Mar
Project Wayfinder,United States,Education,1500000,Seed,21-Mar
Flutterwave,United States,Finance,170000000,Series C,21-Mar
Fei Protocol,United States,Finance,19000000,Series A,21-Mar
M1 Finance,United States,Finance,75000000,Series D,21-Mar
Greenwood Bank,United States,Finance,40000000,Series A,21-Mar
Flywire,United States,Finance,60000000,Series F,21-Mar
Gatsby,United States,Finance,10000000,Series A,21-Mar
Alt,United States,Finance,31000000,Series A,21-Mar
Afriex,United States,Finance,1200000,Seed,21-Mar
Clari,United States,Finance,150000000,Series E,21-Mar
Sakara Life,United States,Food and Beverage,15000000,Series B,21-Mar
Mason Dixie Foods,United States,Food and Beverage,6300000,Series A,21-Mar
iFoodDS,United States,Food and Beverage,15000000,Series A,21-Mar
Frost Giant Studios,United States,Gaming,5000000,Seed,21-Mar
Rogue Games,United States,Gaming,2500000,Series A,21-Mar
ZenSports,United States,Gaming,2400000,Series A,21-Mar
Ryu Games,United States,Gaming,2300000,Seed,21-Mar
HiDEF,United States,Gaming,7500000,Series A,21-Mar
Manticore Games,United States,Gaming,100000000,Series C,21-Mar
Unchained Capital,United States,Health Care,5500000,Seed,21-Mar
Forward,United States,Health Care,225000000,Series D,21-Mar
Ginger,United States,Health Care,100000000,Series E,21-Mar
Caribou Biosciences,United States,Health Care,115000000,Series C,21-Mar
Cityblock Health,United States,Health Care,192000000,Series C,21-Mar
AppliedVR,United States,Health Care,29000000,Series A,21-Mar
Evidation Health,United States,Health Care,153000000,Series E,21-Mar
Ro,United States,Health Care,500000000,Series D,21-Mar
Insitro,United States,Health Care,400000000,Series C,21-Mar
Glooko,United States,Health Care,30000000,Series D,21-Mar
Beam Dental,United States,Health Care,80000000,Series E,21-Mar
Pear Therapeutics,United States,Health Care,20000000,Series D,21-Mar
CirrusMD,United States,Health Care,20000000,Series C,21-Mar
DispatchHealth,United States,Health Care,200000000,Series D,21-Mar
